Load (bolts),Pressure (psi),dL (ticks),dphi (ticks),Load (lbs in),Pressure (psi),dL (in),dphi (rad),Load (Nm),Pressure (psi),dL/L_rest (%),dphi/L_rest (rad/in)
1,3.5,-1,56,0.117933525,3.5,-0.004,0.07037167544,0.01332469919,3.5,-0.001176470588,0.0206975516
1,5,-1,232,0.117933525,5,-0.004,0.2915397983,0.01332469919,5,-0.001176470588,0.08574699949
1,6.5,-1,468,0.117933525,6.5,-0.004,0.5881061448,0.01332469919,6.5,-0.001176470588,0.1729723955
1,7.8,-1,680,0.117933525,7.8,-0.004,0.8545132018,0.01332469919,7.8,-0.001176470588,0.2513274123
1,8.5,0,839,0.117933525,8.5,0,1.054318495,0.01332469919,8.5,0,0.3100936749
1,10,4,1175,0.117933525,10,0.016,1.476548547,0.01332469919,10,0.004705882353,0.4342789845
1,11.2,11,1457,0.117933525,11.2,0.044,1.830920199,0.01332469919,11.2,0.01294117647,0.5385059407
1,12.5,15,1766,0.117933525,12.5,0.06,2.21922105,0.01332469919,12.5,0.01764705882,0.6527120737
1,13.5,20,2107,0.117933525,13.5,0.08,2.647734288,0.01332469919,13.5,0.02352941176,0.778745379
1,11,17,1609,0.117933525,11,0.068,2.021929032,0.01332469919,11,0.02,0.5946850094
1,12.5,17,1901,0.117933525,12.5,0.068,2.388867054,0.01332469919,12.5,0.02,0.702607957
1,10,10,1302,0.117933525,10,0.04,1.636141454,0.01332469919,10,0.01176470588,0.4812180747
1,11,12,1560,0.117933525,11,0.048,1.960353816,0.01332469919,11,0.01411764706,0.5765746517
1,8.7,10,1051,0.117933525,8.7,0.04,1.320725552,0.01332469919,8.7,0.01176470588,0.3884486916
1,10,10,1315,0.117933525,10,0.04,1.652477736,0.01332469919,10,0.01176470588,0.4860228635
1,8,6,864,0.117933525,8,0.024,1.085734421,0.01332469919,8,0.007058823529,0.3193336533
1,8.8,6,1015,0.117933525,8.8,0.024,1.275486617,0.01332469919,8.8,0.007058823529,0.3751431228
1,6.5,4,589,0.117933525,6.5,0.016,0.7401592292,0.01332469919,6.5,0.004705882353,0.2176938909
1,7.5,4,743,0.117933525,7.5,0.016,0.9336813366,0.01332469919,7.5,0.004705882353,0.2746121578
1,5.5,1,391,0.117933525,5.5,0.004,0.491345091,0.01332469919,5.5,0.001176470588,0.1445132621
1,6.5,1,544,0.117933525,6.5,0.004,0.6836105614,0.01332469919,6.5,0.001176470588,0.2010619298
1,4,-1,151,0.117933525,4,-0.004,0.1897521963,0.01332469919,4,-0.001176470588,0.05580946949
2,3.9,-2,-347,0.23586705,3.9,,-0.4360530603,0.02664939839,3.9,,-0.1282509001
2,5.5,-2,-163,0.23586705,5.5,,-0.204831841,0.02664939839,5.5,,-0.06024465912
2,6.5,-2,-31,0.23586705,6.5,,-0.0389557489,0.02664939839,6.5,,-0.01145757321
2,8,-2,187,0.23586705,8,,0.2349911305,0.02664939839,8,,0.06911503838
2,8.8,-1,355,0.23586705,8.8,,0.4461061568,0.02664939839,8.8,,0.1312076932
2,10,0,615,0.23586705,10,,0.7728317928,0.02664939839,10,,0.2273034685
2,11,2,842,0.23586705,11,,1.058088406,0.02664939839,11,,0.3112024723
2,12.5,6,1196,0.23586705,12.5,,1.502937925,0.02664939839,12.5,,0.4420405663
2,13.5,12,1527,0.23586705,13.5,,1.918884793,0.02664939839,13.5,,0.5643778802
2,14.2,15,1766,0.23586705,14.2,,2.21922105,0.02664939839,14.2,,0.6527120737
2,12.3,13,1355,0.23586705,12.3,,1.702743218,0.02664939839,12.3,,0.5008068289
2,13.1,13,1560,0.23586705,13.1,,1.960353816,0.02664939839,13.1,,0.5765746517
2,11.5,13,1188,0.23586705,11.5,,1.492884829,0.02664939839,11.5,,0.4390837732
2,12,13,1286,0.23586705,12,,1.616035261,0.02664939839,12,,0.4753044885
2,10,8,861,0.23586705,10,,1.08196451,0.02664939839,10,,0.3182248559
2,11.2,8,1046,0.23586705,11.2,,1.314442366,0.02664939839,11.2,,0.386600696
2,8.5,7,478,0.23586705,8.5,,0.6006725154,0.02664939839,8.5,,0.1766683869
2,10,7,747,0.23586705,10,,0.9387078849,0.02664939839,10,,0.2760905544
2,7.5,5,273,0.23586705,7.5,,0.3430619178,0.02664939839,7.5,,0.1009005641
2,8.6,5,438,0.23586705,8.6,,0.5504070329,0.02664939839,8.6,,0.1618844214
2,6.1,1,37,0.23586705,6.1,,0.04649557127,0.02664939839,6.1,,0.01367516802
2,7.9,1,255,0.23586705,7.9,,0.3204424507,0.02664939839,7.9,,0.09424777961
2,5.4,1,-116,0.23586705,5.4,,-0.1457698991,0.02664939839,5.4,,-0.04287349974
2,6.5,1,4,0.23586705,6.5,,0.005026548246,0.02664939839,6.5,,0.001478396543
2,12.5,7,1074,0.23586705,12.5,,1.349628204,0.02664939839,12.5,,0.3969494718